run_file,task,n_samples,best_acc,mean_acc,total_successes,success_rate,first_success_k
ev_1.0_0_200.csv,66e6c45b,200.0,1.0,0.96,192.0,0.96,1.0
ev_1.0_0_200.csv,00576224,200.0,1.0,0.57,114.0,0.57,2.0
ev_1.0_0_200.csv,1a2e2828,200.0,1.0,0.355,71.0,0.355,2.0
ev_1.0_0_200.csv,3194b014,200.0,1.0,0.08,16.0,0.08,2.0
ev_1.0_0_200.csv,c7d4e6ad,200.0,1.0,0.05,10.0,0.05,1.0
ev_1.0_0_200.csv,770cc55f,200.0,1.0,0.015,3.0,0.015,3.0
ev_1.0_0_200.csv,03560426,200.0,0.0,0.0,0.0,0.0,
ev_1.0_0_200.csv,0a1d4ef5,200.0,0.0,0.0,0.0,0.0,
ev_1.0_0_200.csv,1da012fc,200.0,0.0,0.0,0.0,0.0,
ev_1.0_0_200.csv,3979b1a8,200.0,0.0,0.0,0.0,0.0,
ev_1.0_0_200.csv,4b6b68e5,200.0,0.0,0.0,0.0,0.0,
ev_1.0_0_200.csv,55783887,200.0,0.0,0.0,0.0,0.0,
ev_1.0_0_200.csv,692cd3b6,200.0,0.0,0.0,0.0,0.0,
ev_1.0_0_200.csv,7ee1c6ea,200.0,0.0,0.0,0.0,0.0,
ev_1.0_0_200.csv,963f59bc,200.0,0.0,0.0,0.0,0.0,
ev_1.0_0_200.csv,a04b2602,200.0,0.0,0.0,0.0,0.0,
ev_1.0_0_200.csv,d37a1ef5,200.0,0.0,0.0,0.0,0.0,
ev_1.0_0_200.csv,e9ac8c9e,200.0,0.0,0.0,0.0,0.0,
ev_1.0_0_200.csv,e9c9d9a1,200.0,0.0,0.0,0.0,0.0,
ev_1.0_0_200.csv,ef26cbf6,200.0,0.0,0.0,0.0,0.0,
ev_1.0_0_200.csv,f3cdc58f,200.0,0.0,0.0,0.0,0.0,
ev_1.1_0_200.csv,66e6c45b,200.0,1.0,0.915,183.0,0.915,1.0
ev_1.1_0_200.csv,00576224,200.0,1.0,0.555,111.0,0.555,2.0
ev_1.1_0_200.csv,1a2e2828,200.0,1.0,0.415,83.0,0.415,4.0
ev_1.1_0_200.csv,c7d4e6ad,200.0,1.0,0.035,7.0,0.035,14.0
ev_1.1_0_200.csv,3194b014,200.0,1.0,0.025,5.0,0.025,15.0
ev_1.1_0_200.csv,7ee1c6ea,200.0,1.0,0.005,1.0,0.005,101.0
